"probset.ids","gene.names"
"X1552931_a_at","PDE8A"
"X1552932_at","NLRP6"
"X1552933_at","AKNAD1"
"X1552935_at","ZCCHC5"
"X1552937_s_at","ATRIP /// TREX1"
"X1552938_at","ZIC5"
"X1552939_at","ANGPT1"
"X1552940_at","TEDDM1"
"X1552942_at","LOC149373"
"X1552943_at","GABRG1"
"X1552944_a_at","PANX2"
"X1552946_at","ZNF114"
"X1552947_x_at","ZNF114"
"X1552948_at","CCDC27"
"X1552950_at","C15orf26"
"X1552952_at","LOC100652931 /// RBMY2FP"
"X1552953_a_at","NEUROD2"
"X1552954_at","C5orf17"
"X1552955_at","LINC00208"
"X1552957_at","DNAH6"
"X1552960_at","LRRC15"
"X1552961_at",""
"X1552964_at","TTC40"
"X1552965_a_at","B3GNT7"
"X1552967_at","ZNF645"
"X1552969_a_at","ZMYM6"
"X1552970_s_at","ZMYM6"
"X1552971_at","SGCZ"
"X1552972_at","LOC100507431"
"X1552973_at","WNT9B"
"X1552974_at",""
"X1552975_x_at",""
"X1552976_at",""
"X1552977_a_at","CNPY3"
"X1552978_a_at","SCAMP1"
"X1552979_at","LINC00471"
"X1552980_at","HAS3"
"X1552982_a_at","FGF4"
"X1552985_at","SLC30A8"
"X1552986_at","LOC142937"
"X1552987_a_at","LOC439933"
"X1552988_at","C11orf65"
"X1552990_at","FAM71E2"
"X1552991_at","OR5P2"
"X1552993_at","DYDC1"
"X1552995_at","IL27"
"X1552997_a_at","IQCF1"
"X1552998_at","DEFB125"
"X1552999_a_at","WFDC10B"
"X1553002_at","DEFB105A /// DEFB105B"
"X1553003_at","PKHD1"
"X1553004_at","PKD1L1"
"X1553006_at","GPR112"
"X1553007_a_at","TENM1"
"X1553009_s_at","REXO1L1P"
"X1553011_at","TAF1L"
"X1553013_at","CNTNAP5"
"X1553015_a_at","RECQL4"
"X1553016_at","GPR113"
"X1553019_at","TMC2"
"X1553020_at","SMCR5"
"X1553021_s_at","BICD2"
"X1553022_at","ZIM3"
"X1553023_a_at","NOX5"
"X1553024_at","DAOA-AS1"
"X1553025_at","GPR126"
"X1553027_a_at","KLHL4"
"X1553028_at","GPR156"
"X1553030_a_at","SUOX"
"X1553031_at","GPR115"
"X1553032_at","IL31RA"
"X1553033_at","SYTL5"
"X1553034_at","SDCCAG8"
"X1553036_at","GPR111"
"X1553037_a_at","SYN2"
"X1553039_a_at","ASB10"
"X1553041_at","HTR3C"
"X1553042_a_at","NFKBID"
"X1553043_a_at","CD300LF"
"X1553044_at","GJA10"
"X1553045_at","WNT9A"
"X1553046_s_at","GAL3ST2"
"X1553047_at","PIP4K2B"
"X1553048_a_at","PIP4K2B"
"X1553051_s_at","ODF3"
"X1553052_at","WFDC13"
"X1553053_at","LINC00521"
"X1553055_a_at","SLFN5"
"X1553057_at","SERPINB12"
"X1553058_at","GIPC3"
"X1553059_at","PGLYRP3"
"X1553060_at","PSKH2"
"X1553061_at","OR6W1P"
"X1553062_at","MOGAT1"
"X1553063_at","GPR78"
"X1553064_at","H1FOO"
"X1553066_at","TAAR9"
"X1553067_a_at","GNRHR2"
"X1553069_at",""
"X1553070_a_at","MYOZ3"
"X1553071_a_at","MYOZ3"
"X1553072_at","BNIPL"
"X1553074_at","ASB11"
"X1553075_a_at","OFCC1"
"X1553076_at","OFCC1"
"X1553077_at","SDR9C7"
"X1553078_at","OR5P3"
"X1553079_at","TRIM40"
"X1553080_at","CSN1S2AP"
"X1553081_at","WFDC12"
"X1553082_at","CRYGN"
"X1553083_at",""
"X1553084_at","STARD6"
"X1553086_at","C11orf40"
"X1553087_at","C18orf12"
"X1553088_a_at","BCL2L11"
"X1553089_a_at","WFDC2"
"X1553093_a_at","DEFB119"
"X1553094_at","FLJ45513 /// TAC4"
"X1553096_s_at","BCL2L11"
"X1553099_at","TIGD1"
"X1553101_a_at","ALKBH5"
"X1553102_a_at","CCDC69"
"X1553103_at","NFX1"
"X1553105_s_at","DSG2"
"X1553106_at","C5orf24"
"X1553107_s_at","C5orf24"
"X1553108_at","C5orf24"
"X1553111_a_at","KBTBD6"
"X1553112_s_at","CDK8"
"X1553113_s_at","CDK8"
"X1553114_a_at","PTK6"
"X1553115_at","NKD1"
"X1553117_a_at","STK38"
"X1553118_at","THEM4"
"X1553120_at","CLSPN"
"X1553122_s_at","RBAK"
"X1553123_at","WDR62"
"X1553125_x_at","WDR62"
"X1553126_a_at","SLC39A12"
"X1553127_a_at","RNF168"
"X1553129_at","SVEP1"
"X1553130_at","LOC652276"
"X1553131_a_at","GATA4"
"X1553132_a_at","TC2N"
"X1553133_at","C9orf72"
"X1553134_s_at","C9orf72"
"X1553136_at","KCTD18"
"X1553137_s_at","KLF11"
"X1553138_a_at","ANKLE1"
"X1553139_s_at","PLXNA3"
"X1553140_at","PELO"
"X1553141_at","LACC1"
"X1553142_at","LACC1"
"X1553145_at","TAPT1-AS1"
"X1553146_at","C3orf30"
"X1553147_at","RANBP3L"
"X1553148_a_at","SNX13"
"X1553150_at","KDM1B"
"X1553151_at","ATP6V0D2"
"X1553153_at","ATP6V0D2"
"X1553155_x_at","ATP6V0D2"
"X1553156_at","LHX4"
"X1553157_at","LHX4"
"X1553158_at","CEP19"
"X1553159_at","DNAH11"
"X1553162_x_at","PROSER3"
"X1553163_at","ADPRHL1"
"X1553165_at","SYNRG"
"X1553166_at","CDH24"
"X1553167_a_at","SEPSECS"
"X1553168_at","GRIK5"
"X1553169_at","LRRN4"
"X1553171_x_at","LRRN4"
"X1553172_at","ZNF777"
"X1553174_at","JPH2"
"X1553175_s_at","PDE5A"
"X1553176_at","SH2D1B"
"X1553177_at","SH2D1B"
"X1553178_a_at","SSTR3"
"X1553179_at","ADAMTS19"
"X1553180_at","ADAMTS19"
"X1553181_at","DDX31"
"X1553183_at","UMODL1"
"X1553185_at","RASEF"
"X1553186_x_at","RASEF"
"X1553188_s_at","PARD3B"
"X1553190_s_at","PARD3B"
"X1553191_at","DST"
"X1553192_at","ZNF441"
"X1553193_at","ZNF441"
"X1553194_at","NEGR1"
"X1553196_a_at","FCRL3"
"X1553197_at","DCAF4L2"
"X1553199_at","DCAF4L2"
"X1553202_at","STOX1"
"X1553204_at","C20orf166-AS1"
"X1553205_at","C20orf166-AS1"
"X1553207_at","ARL10"
"X1553208_s_at",""
"X1553209_at","RNFT2"
"X1553211_at","ANKFN1"
"X1553212_at","KRT78"
"X1553213_a_at","KRT78"
"X1553214_a_at","CCDC7"
"X1553215_s_at","CCDC7"
"X1553216_at","ZNF41"
"X1553217_s_at","ZNF41"
"X1553218_a_at","ZNF512"
"X1553219_a_at","AMMECR1"
"X1553220_at","FAM117B"
"X1553221_at","ZNF583"
"X1553222_at","OXER1"
"X1553224_at","LUZP1"
"X1553225_s_at","ZNF75D"
"X1553226_at","LINC00052"
"X1553227_s_at","BRWD1"
"X1553228_at","CCDC89"
"X1553229_at","ZNF572"
"X1553232_at","RMDN2"
"X1553234_at","ADAMTS18"
"X1553235_at","PCDHAC1"
"X1553237_x_at","PCDHAC1"
"X1553238_a_at","HIPK4"
"X1553239_at","FAM124A"
"X1553241_at","NKAIN3"
"X1553243_at","ITIH5"
"X1553244_at","FANCB"
"X1553246_a_at","POMK"
"X1553247_a_at","ZNF709"
"X1553248_at","CCDC57"
"X1553249_at","SMC1B"
"X1553252_a_at","BRWD3"
"X1553253_at","ASB16"
"X1553254_at","MAGEE2"
"X1553255_at","ERVV-1"
"X1553257_at","GAL3ST3"
"X1553258_at","FLJ30679"
"X1553260_s_at","ALS2CR11"
"X1553261_x_at","ALS2CR11"
"X1553262_a_at","UTS2R"
"X1553263_at","USH1G"
"X1553264_a_at","SYN1"
"X1553265_at","SLC23A3"
"X1553266_at","CNOT6L"
"X1553267_a_at","CNOT6L"
"X1553268_at","RHBDL3"
"X1553269_at","ZNF718"
"X1553271_at","DIP2B"
"X1553272_at","SLC36A1"
"X1553274_a_at","SNRNP48"
"X1553275_s_at",""
"X1553276_at","ZNF560"
"X1553277_at","RTTN"
"X1553279_at","BTNL9"
"X1553280_at","PUS10"
"X1553281_at","PLCXD2"
"X1553282_at","C21orf128"
"X1553284_s_at","LMLN"
"X1553285_s_at","RAD9B"
"X1553286_at","ZNF555"
"X1553288_a_at","NYAP1"
"X1553292_s_at","SGK494"
"X1553293_at","MRGPRX3"
"X1553295_at","ABCA13"
"X1553296_at","GPR128"
"X1553297_a_at","CSF3R"
"X1553298_at","C17orf77"
"X1553299_at","DUSP5P1"
"X1553300_a_at","DGKH"
"X1553301_a_at","TMEM182"
"X1553303_at","C16orf46"
"X1553304_at","LSM14B"
"X1553306_at","CASP8"
"X1553310_at","PLB1"
"X1553311_at","C20orf197"
"X1553313_s_at","SLC5A3"
"X1553314_a_at","KIF19"
"X1553315_at","SLFNL1"
"X1553316_at","GPR82"
"X1553317_s_at","GPR82"
"X1553318_at","RIBC1"
"X1553319_at","OXGR1"
"X1553320_s_at","CDC14C"
"X1553321_a_at","SULT1C4"
"X1553322_s_at","TEAD1"
"X1553323_a_at","CATSPER2 /// CATSPER2P1 /// LOC101930343"
"X1553325_at","POU5F2"
"X1553326_at","RXFP2"
"X1553327_a_at","BEND7"
"X1553328_a_at","SLC18A2"
"X1553329_at","SSMEM1"
"X1553330_at","SSMEM1"
"X1553333_at","MAB21L3"
"X1553335_x_at","LOC285696"
"X1553336_a_at","MIER3"
"X1553338_at","SDE2"
"X1553340_s_at","SLC35G3 /// SLC35G4P /// SLC35G5"
"X1553341_at","UROC1"
"X1553344_at","PCDH15"
"X1553346_a_at","TNRC6A"
"X1553347_s_at","KCNA6"
"X1553348_a_at","NFX1"
"X1553349_at","ARID2"
"X1553350_at","AMER3"
"X1553351_at","OTUD7A"
"X1553352_x_at","ERVW-1"
"X1553354_a_at",""
"X1553355_at",""
"X1553356_at",""
"X1553357_at","LINC00889"
"X1553359_at","FBXL18"
"X1553361_x_at","FBXL18"
"X1553362_at","DNAH6"
"X1553363_at","C6orf195"
"X1553364_at","PNPLA1"
"X1553365_at","DEPDC4"
"X1553366_s_at","ANKRD23 /// ANKRD39"
"X1553367_a_at","COX6B2"
"X1553369_at","FAM129C"
"X1553371_at","EPHA10"
"X1553372_at",""
"X1553373_at","WDR64"
"X1553374_at","PRO2949"
"X1553375_at","BTBD9"
"X1553376_a_at","AXDND1"
"X1553378_a_at","HEATR9"
"X1553380_at","PARP15"
"X1553383_at","ARHGAP42"
"X1553385_at","LINC01101"
"X1553386_at","MFSD2A"
"X1553387_at","ATM"
"X1553388_at","FAM26D"
"X1553389_at","NPHP3"
"X1553390_at","ATG9B"
"X1553391_at","CXorf58"
"X1553392_at","EFCAB3 /// LOC102724660"
"X1553394_a_at","TFAP2B"
"X1553395_a_at","CD200R1"
"X1553396_a_at","CCDC13"
"X1553397_at","CCDC13"
"X1553398_at",""
"X1553399_a_at","CRHR1-IT1 /// MGC57346"
"X1553400_a_at","CRHR1-IT1 /// MGC57346"
"X1553401_at","MRGPRX1"
"X1553402_a_at","HFE"
"X1553403_at","RLN3"
"X1553405_a_at","CSMD1"
"X1553407_at","MACF1"
"X1553409_at","ADAMTS20"
"X1553410_a_at","ABCC12"
"X1553411_s_at","SALL3"
"X1553412_at","AGBL4"
"X1553413_at","FLJ13744"
"X1553415_at","SLC17A8"
"X1553417_at","C11orf44"
"X1553418_a_at","CNTNAP5"
"X1553420_at","SATB2-AS1"
"X1553422_s_at","RBFOX1"
"X1553423_a_at","SLFN13"
"X1553424_at","C12orf40"
"X1553425_at","WDR65"
"X1553426_at","C5orf64"
"X1553427_at","ADAMTS15"
"X1553428_at","LY86-AS1"
"X1553429_at","FLJ31713"
"X1553430_a_at","EDARADD"
"X1553432_s_at","LOC101060424 /// LOC653786 /// OTOA"
"X1553433_at","CCDC171"
"X1553434_at","CYP4Z2P"
"X1553435_at","C18orf15"
